global_mse,global_mae,ver_max,ver_topk,maxpool_mse_3x3,maxpool_mse_5x5,maxpool_mse_9x9,maxpool_mse_15x15,maxpool_mse_25x25,maxpool_mse_35x35,maxpool_mse_51x51,maxpool_mse_75x75,maxpool_mse_101x101,filename,label,split
0.00033064838,0.009828733,0.0007290353,0.0005931847,0.0012026547,0.001982017,0.0033381898,0.005095331,0.0077712964,0.0099891415,0.013193975,0.017831875,0.02200188,0i3rc5vr.png,0,validation
0.00033611504,0.009412042,0.00087439024,0.00077069126,0.0012200834,0.0020191928,0.0034687433,0.0054421867,0.008363389,0.010989499,0.015109144,0.021440642,0.027937198,0ilfbaup.png,0,validation
0.00035344058,0.009982137,0.00070163305,0.0005706445,0.0012304334,0.0020493516,0.0035851428,0.005767231,0.009009334,0.011981494,0.016587265,0.02295021,0.027569097,0ion3xjr.png,0,validation
0.0003167183,0.009755243,0.0007339115,0.0006328569,0.0011611362,0.0019255573,0.00324087,0.004966667,0.007351207,0.009290696,0.012015538,0.015530184,0.018648682,0j1oulwo.png,0,validation
0.00039429567,0.010235715,0.0008001162,0.00070864096,0.0013794688,0.0022629208,0.0038659715,0.006115169,0.009735233,0.013012253,0.017747862,0.02434801,0.029097814,0jq84q8x.png,0,validation
0.00029372043,0.009321341,0.00073955994,0.0005711773,0.001075248,0.0018001281,0.0030877544,0.004807184,0.0074505364,0.009846187,0.01337243,0.017895544,0.02171727,0jy67u6o.png,0,validation
0.0003319117,0.009232255,0.0008098926,0.00072476495,0.0012298081,0.00209438,0.0037227366,0.00607253,0.009532008,0.01285466,0.01834969,0.02714921,0.037278235,0k5fc34s.png,0,validation
0.0003333882,0.009733215,0.0007067768,0.0005472018,0.0011687328,0.0019382272,0.0033661146,0.005381306,0.00863176,0.011862582,0.017115703,0.024529614,0.030379785,0k81ivzj.png,0,validation
0.00031711752,0.009484417,0.0007945792,0.0006525766,0.0011719937,0.0019418084,0.0033030335,0.0050507337,0.0075695734,0.009887512,0.013533767,0.019199515,0.024430003,0kbc69ps.png,0,validation
0.0002576418,0.00862261,0.0006281013,0.00052779494,0.00093987107,0.0015698564,0.0026643379,0.0041350042,0.0063160732,0.008251593,0.011054674,0.01429748,0.016857216,0l1offkh.png,0,validation
0.0003660601,0.010114528,0.0007754741,0.0006168314,0.0013076521,0.002154968,0.0036641126,0.0057603773,0.0090798,0.012272965,0.017474929,0.025452446,0.032369,0lsn6mhl.png,0,validation
0.0003103658,0.009459601,0.000812009,0.00063191104,0.0011187758,0.0018709954,0.0032054468,0.004969059,0.007538305,0.009915134,0.013365103,0.01785587,0.02215919,0mjaiq5s.png,0,validation
0.00033164723,0.009479364,0.0007894624,0.0007090213,0.0011964903,0.0020387683,0.0036718622,0.006129685,0.010189898,0.01398518,0.02024462,0.030724173,0.04245749,0n3yjvug.png,0,validation
0.0003139029,0.009296787,0.00081040664,0.00067865755,0.0011585872,0.0019431474,0.003366234,0.0052273334,0.0076725925,0.009803888,0.013019401,0.017646143,0.02168878,0n938tfs.png,0,validation
0.00035147846,0.010019152,0.0006964238,0.0006013555,0.0012179748,0.001983235,0.003333457,0.0052041295,0.008061308,0.010684324,0.014892632,0.020453768,0.023654964,0nfjmxrb.png,0,validation
0.00037600758,0.010174246,0.00076449837,0.0006019114,0.0012952606,0.0021304425,0.003677496,0.005860189,0.009284027,0.012515485,0.01760934,0.024967164,0.030007254,0noq91ui.png,0,validation
0.00031381854,0.009540627,0.00075106125,0.00062827783,0.0011562859,0.0019262464,0.003266055,0.0050035636,0.0075054523,0.00977225,0.012924051,0.017127594,0.020909965,0okk0ojb.png,0,validation
0.00029133438,0.009267061,0.0006101531,0.00059403235,0.0010590352,0.0017741048,0.0030224514,0.004659612,0.0069203856,0.008825759,0.011417706,0.014801763,0.017790038,0osoh5v6.png,0,validation
