dataset,method,score,bottleneck_dim,validation_f1_count,validation_f1_mean,validation_f1_std,validation_f1_min,validation_f1_max,validation_precision_count,validation_precision_mean,validation_precision_std,validation_precision_min,validation_precision_max,validation_recall_count,validation_recall_mean,validation_recall_std,validation_recall_min,validation_recall_max,pr_auc_count,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,f1_count,f1_mean,f1_std,f1_min,f1_max,precision_count,precision_mean,precision_std,precision_min,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_max,tn_count,tn_mean,tn_std,tn_min,tn_max,fp_count,fp_mean,fp_std,fp_min,fp_max,fn_count,fn_mean,fn_std,fn_min,fn_max,tp_count,tp_mean,tp_std,tp_min,tp_max,validation_f1_ci95,validation_precision_ci95,validation_recall_ci95,pr_auc_ci95,f1_ci95,precision_ci95,recall_ci95,tn_ci95,fp_ci95,fn_ci95,tp_ci95
turning,cnn_ae,ver_max,32,5,0.6433786039060404,0.08831059019308946,0.5333333333333333,0.7272727272727273,5,0.7867948717948718,0.0960550774778211,0.6923076923076923,0.9333333333333333,5,0.5632819284975785,0.1398077992464552,0.4,0.7058823529411765,5,0.7984741613127414,0.1570974605017849,0.6105857430691576,1.0,5,0.6374075671324249,0.333180746731376,0.125,0.967741935483871,5,0.7212662337662337,0.24728374492875088,0.45454545454545453,1.0,5,0.6597402597402597,0.37903949589740676,0.07142857142857142,1.0,5,114.8,4.324349662087931,109,120,5,3.2,4.969909455915671,0,12,5,4.2,5.263078946776307,0,13,5,8.0,5.291502622129181,1,15,0.07740764525951072,0.08419598766717147,0.12254693921668933,0.13770199550363507,0.29204580100631505,0.21675375924943108,0.3322427669616708,3.7904596027394883,4.356317711095001,4.61329210000841,4.638206549950099
turning,cnn_ae,ver_topk,32,5,0.6471345607100756,0.09790879759976837,0.5333333333333333,0.7368421052631577,5,0.788695652173913,0.10298220726733624,0.6666666666666666,0.9333333333333333,5,0.5784635141753279,0.17763526224918516,0.4,0.8235294117647058,5,0.8174689588843422,0.16995982697875978,0.6255167034302372,1.0,5,0.661344537815126,0.28309296225367736,0.23529411764705882,0.9333333333333333,5,0.7290909090909091,0.22649969542890067,0.5,1.0,5,0.6988744588744589,0.3459816525642597,0.14285714285714285,1.0,5,114.4,4.219004621945795,109,120,5,3.6,4.560701700396552,0,11,5,3.8,4.8166378315169185,0,12,5,8.4,4.615192303685731,2,14,0.08582084499511332,0.09026788464171279,0.15570417246335064,0.14897635681489496,0.2481419221599938,0.19853573661791193,0.30326628968774844,3.6981206037661867,3.9976312986567435,4.221969208793451,4.045394418347858
turning,cnn_ae,global_mae,64,5,0.6994533359116692,0.144144701265494,0.47727272727272724,0.8468468468468469,5,0.7654147812971341,0.2140144974401393,0.5,1.0,5,0.6957882860822404,0.23165292425976677,0.45652173913043476,0.94,5,0.8483088285414035,0.1474701290541281,0.6867691744446549,0.9958333333333333,5,0.7597495472749023,0.16839585811490998,0.5098039215686274,0.9655172413793104,5,0.690962910962911,0.23252298499269924,0.35135135135135137,1.0,5,0.8978354978354979,0.10215028516531945,0.7272727272727273,1.0,5,110.8,11.497825881443847,94,121,5,7.2,9.57601169589929,0,24,5,1.2,1.0954451150103321,0,3,5,11.0,2.5495097567963922,8,14,0.12634840144540946,0.18759197806306963,0.20305274084592786,0.12926326742055327,0.14760547766274454,0.20381538270373686,0.0895386727678519,10.078288743631031,8.393744337302632,0.9601999791710056,2.23474383319431
turning,cnn_ae,global_mse,64,5,0.6868001441023754,0.13312179700922058,0.47619047619047616,0.823529411764706,5,0.737952233524989,0.1779420737160327,0.5263157894736842,1.0,5,0.691283597250186,0.23808377008288728,0.43478260869565216,0.9607843137254902,5,0.8494552337182789,0.13515375669605664,0.7269604133240497,1.0,5,0.7479115795637534,0.17928331559497443,0.509090909090909,1.0,5,0.6591260162601625,0.23529897546690184,0.34146341463414637,1.0,5,0.9254545454545454,0.11894856170033548,0.7272727272727273,1.0,5,109.6,12.461942063739503,91,121,5,8.4,10.644247272588137,0,27,5,0.8,1.3038404810405297,0,3,5,11.4,3.049590136395381,8,15,0.1166863998606218,0.15597310457144048,0.20868962574394853,0.1184674910556452,0.15714875491354907,0.20624864563857875,0.104263011356809,10.923373837784734,9.330094104562933,1.1428665713896788,2.6730836126092274
turning,cnn_ae,ver_max,64,5,0.6645223720306408,0.09739587632138205,0.5052631578947369,0.7580645161290323,5,0.6861420536332592,0.1928435920698295,0.4897959183673469,0.896551724137931,5,0.7080658068963015,0.21646580366308235,0.52,0.96,5,0.7979174562236392,0.1566420037310691,0.6133549783549783,1.0,5,0.6746831283833181,0.1361952175338949,0.5238095238095238,0.8823529411764706,5,0.5398148597299701,0.16506603530308486,0.3548387096774194,0.7894736842105263,5,0.9457142857142857,0.08713114675415373,0.8,1.0,5,106.8,7.395944834840238,100,117,5,11.2,6.978538528947161,4,20,5,0.6,0.894427190999916,0,2,5,11.6,2.6076809620810595,8,15,0.08537124967164678,0.1690348613102042,0.18974064270355184,0.13730277004198288,0.11938037172953482,0.1446867592799185,0.07637381750312076,6.48283148014816,6.116958721456276,0.784,2.2857331427793577
turning,cnn_ae,ver_topk,64,5,0.6724059444529171,0.10066318292229143,0.506024096385542,0.7666666666666666,5,0.731955511002164,0.18730169791077342,0.5647058823529412,0.9642857142857143,5,0.6825901217101087,0.2314695251340861,0.45652173913043476,0.96,5,0.8318256338250988,0.15067381405392932,0.7068994137175956,1.0,5,0.7201342774718069,0.15649912506125546,0.5365853658536586,0.967741935483871,5,0.5999242424242424,0.2084621502575247,0.36666666666666664,0.9375,5,0.9514285714285714,0.06821335077893327,0.8571428571428571,1.0,5,109.0,7.549834435270749,100,120,5,9.0,6.59545297913646,1,19,5,0.6,0.8944271909999159,0,2,5,11.6,2.1908902300206643,9,15,0.0882351701795299,0.16417717690121092,0.20289198442440975,0.13207142113626966,0.13717753136603358,0.18272513117494738,0.05979163821137534,6.617721662324579,5.78116943187103,0.7839999999999999,1.9203999583420113
turning,cnn_ae,global_mae,128,5,0.7189007055429075,0.1365748465903989,0.5151515151515151,0.8440366972477066,5,0.8147662422158193,0.1250632573481114,0.6571428571428571,1.0,5,0.7087732854473889,0.262722131511168,0.3695652173913043,0.92,5,0.8304376502332506,0.15934405546652408,0.6542903525046383,1.0,5,0.6017508417508417,0.3416038893885809,0.0,0.8148148148148148,5,0.5472402597402597,0.3135494269954396,0.0,0.75,5,0.6768831168831169,0.39139677048319993,0.0,1.0,5,114.4,7.092249290598858,104,121,5,3.6,2.3021728866442674,0,6,5,4.4,6.024948132556827,0,15,5,7.8,4.711687595755898,0,12,0.11971313126915302,0.10962277840782746,0.23028610173902359,0.13967122281478875,0.29942901107606484,0.2748381905626209,0.3430743957099327,6.216630598644252,2.017943507633452,5.281099885440532,4.129976271118274
turning,cnn_ae,global_mse,128,5,0.7043922795611127,0.11529596058302223,0.5294117647058824,0.8135593220338982,5,0.7836079146061604,0.13175983139661068,0.6885245901639344,1.0,5,0.7049642487892475,0.25051801286473857,0.391304347826087,0.9411764705882353,5,0.7999691483538836,0.14033382355049018,0.6341187790905836,0.986013986013986,5,0.610979174278407,0.34478320031483395,0.0,0.8235294117647058,5,0.5313165266106442,0.29787103519231384,0.0,0.7,5,0.7254545454545455,0.420566324208027,0.0,1.0,5,113.8,7.259476565152614,103,121,5,4.2,2.4899799195977463,0,6,5,3.8,6.3796551630946325,0,15,5,8.4,5.224940191045253,0,14,0.1010613653147514,0.11549258436503915,0.2195887200906591,0.12300801984853191,0.30221579997432707,0.2610954742215524,0.36864263687073456,6.363211767653186,2.1825636302293683,5.592014306133345,4.5798620066547855
turning,cnn_ae,ver_max,128,5,0.6692195811757929,0.08179537200594131,0.5352112676056338,0.7377049180327869,5,0.7663300402905721,0.14719326765411717,0.6086956521739131,0.9259259259259259,5,0.6462282200576808,0.20712845682350717,0.41304347826086957,0.8823529411764706,5,0.7490702103322756,0.16846827547629764,0.5841682826976944,0.9924242424242424,5,0.43009337860780983,0.28243957744112724,0.0,0.7096774193548387,5,0.42523809523809525,0.24244596377641334,0.0,0.6,5,0.5246753246753246,0.4318401517699829,0.0,1.0,5,112.4,7.503332592921627,100,120,5,5.6,4.33589667773576,1,11,5,6.4,6.465291950097845,0,15,5,5.8,4.658325879540846,0,11,0.0716968047236659,0.12902058770353136,0.18155609733654093,0.1476689542787276,0.2475692051203132,0.21251325710280863,0.3785245824304311,6.576961000340505,3.800581008214402,5.6670782595619755,4.083202664575932
turning,cnn_ae,ver_topk,128,5,0.6840388043737959,0.09622250449226272,0.5294117647058824,0.7722772277227723,5,0.7800862685072243,0.08724466616713765,0.6610169491525424,0.896551724137931,5,0.6401382162485716,0.17489930643403392,0.391304347826087,0.78,5,0.7705055220762571,0.1456997516878575,0.6215477425174462,0.9924242424242424,5,0.4682694541231126,0.2765189128012724,0.0,0.7333333333333333,5,0.4367418546365915,0.2678069820684297,0.0,0.6666666666666666,5,0.5942857142857143,0.4244564351098031,0.0,1.0,5,111.0,8.093207028119323,101,121,5,7.0,7.416198487095663,0,19,5,5.4,6.148170459575759,0,15,5,6.8,4.764451699828638,0,11,0.0843427439159115,0.07647332165580635,0.15330600145439394,0.12771146323892452,0.2423795137464889,0.23474316976759776,0.3720524694179572,7.094008739774712,6.500584589096584,5.389109017268068,4.176226047521853
