bottleneck_dim,split,label,score,n,mean,std,median,p90
32,test,chatter,ver_topk,27,0.013082391582429409,0.00845232605934143,0.011691775172948837,0.01856941170990467
32,test,no_chatter,global_mse,48,0.0012150800321251154,0.0009818817488849163,0.000976099050603807,0.0024163066409528255
32,test,no_chatter,global_mae,48,0.017558373510837555,0.008603516034781933,0.017095627263188362,0.030121324583888054
32,test,no_chatter,ver_max,48,0.0021314742043614388,0.0022156492341309786,0.0014552976936101913,0.004577610641717911
32,test,no_chatter,ver_topk,48,0.0017924403073266149,0.001819682540372014,0.0012910885270684958,0.0038916117046028376
32,validation,chatter,global_mse,34,0.011082557961344719,0.007387781981378794,0.00917450338602066,0.020876839756965637
32,validation,chatter,global_mae,34,0.066830575466156,0.029995860531926155,0.0602794885635376,0.10580828040838242
32,validation,chatter,ver_max,34,0.016565104946494102,0.010427110828459263,0.01830396056175232,0.031002067029476166
32,validation,chatter,ver_topk,34,0.014625969342887402,0.009379428811371326,0.015126125887036324,0.02740487828850746
32,validation,no_chatter,global_mse,70,0.0012723348336294293,0.0014624560717493296,0.0009327475563623011,0.0024638017639517784
32,validation,no_chatter,global_mae,70,0.01779548078775406,0.010163923725485802,0.016957974061369896,0.028933048248291016
32,validation,no_chatter,ver_max,70,0.00204782304354012,0.0026664775796234608,0.001340073300525546,0.003938044421374798
32,validation,no_chatter,ver_topk,70,0.001730790245346725,0.0021346251014620066,0.0012256372720003128,0.0031910997349768877
64,test,chatter,global_mse,27,0.04342002421617508,0.022118836641311646,0.036505915224552155,0.06838325411081314
64,test,chatter,global_mae,27,0.1362105906009674,0.05231500789523125,0.12309787422418594,0.19503073394298553
64,test,chatter,ver_max,27,0.05339209735393524,0.022359898313879967,0.0557013601064682,0.07712174952030182
64,test,chatter,ver_topk,27,0.05122576653957367,0.021963883191347122,0.04957317188382149,0.07470186799764633
64,test,no_chatter,global_mse,48,0.004287894815206528,0.0031054492574185133,0.0029902877286076546,0.008958345279097557
64,test,no_chatter,global_mae,48,0.03889549896121025,0.012575165368616581,0.03839506208896637,0.056736018508672714
64,test,no_chatter,ver_max,48,0.005898702889680862,0.005296650808304548,0.0038419533520936966,0.01285766251385212
64,test,no_chatter,ver_topk,48,0.005378983914852142,0.004556689411401749,0.003507696557790041,0.012491573579609394
64,validation,chatter,global_mse,34,0.05093001574277878,0.03885849565267563,0.029501790180802345,0.10602058470249176
64,validation,chatter,global_mae,34,0.14352017641067505,0.08039199560880661,0.105881467461586,0.25568169355392456
64,validation,chatter,ver_max,34,0.06514573842287064,0.04272036999464035,0.043863944709300995,0.12274890393018723
64,validation,chatter,ver_topk,34,0.06204937398433685,0.042418502271175385,0.03829270601272583,0.11991215497255325
64,validation,no_chatter,global_mse,70,0.004125713836401701,0.0035693838726729155,0.0030253692530095577,0.006912439130246639
64,validation,no_chatter,global_mae,70,0.037602756172418594,0.013236701488494873,0.03735746443271637,0.05058978497982025
64,validation,no_chatter,ver_max,70,0.005577548407018185,0.005634396802634001,0.003942015580832958,0.011422754265367985
64,validation,no_chatter,ver_topk,70,0.005135314539074898,0.005068561527878046,0.00359371118247509,0.010126178152859211
128,test,chatter,global_mse,27,0.006026622373610735,0.0023108727764338255,0.006602343637496233,0.00837868545204401
128,test,chatter,global_mae,27,0.04886817932128906,0.012021210044622421,0.05065281689167023,0.061816632747650146
128,test,chatter,ver_max,27,0.00825057178735733,0.002799773821607232,0.009635021910071373,0.011222034692764282
128,test,chatter,ver_topk,27,0.007734736427664757,0.002727721817791462,0.009041929617524147,0.010141488164663315
128,test,no_chatter,global_mse,48,0.00099126563873142,0.0007478194311261177,0.0008560190908610821,0.0016971522709354758
128,test,no_chatter,global_mae,48,0.01584850437939167,0.007368141785264015,0.01611819863319397,0.024775635451078415
128,test,no_chatter,ver_max,48,0.0016136894701048732,0.0015527833020314574,0.0012469618814066052,0.0031659037340432405
128,test,no_chatter,ver_topk,48,0.0013799183070659637,0.0012530029052868485,0.0011207670904695988,0.0025086309760808945
128,validation,chatter,global_mse,34,0.007482497952878475,0.004966411739587784,0.005253392271697521,0.014372684992849827
128,validation,chatter,global_mae,34,0.05345115810632706,0.02312631718814373,0.04394356533885002,0.08425524830818176
128,validation,chatter,ver_max,34,0.010816286318004131,0.006408285349607468,0.009846046566963196,0.01869865134358406
128,validation,chatter,ver_topk,34,0.009619097225368023,0.005864554550498724,0.008207850158214569,0.01680852472782135
128,validation,no_chatter,global_mse,70,0.0009586802334524691,0.0008777172188274562,0.0008192058303393424,0.0015724223339930177
128,validation,no_chatter,global_mae,70,0.015646109357476234,0.007893487811088562,0.015512647107243538,0.024535734206438065
128,validation,no_chatter,ver_max,70,0.0015010596252977848,0.0015114261768758297,0.001212049974128604,0.0028958264738321304
128,validation,no_chatter,ver_topk,70,0.0012707494897767901,0.001224384643137455,0.0010912695433944464,0.0022698375396430492
