reference_dim,bottleneck_dim,dataset,method,score,validation_f1_delta_count,validation_f1_delta_mean,validation_f1_delta_std,validation_f1_delta_min,validation_f1_delta_max,validation_precision_delta_count,validation_precision_delta_mean,validation_precision_delta_std,validation_precision_delta_min,validation_precision_delta_max,validation_recall_delta_count,validation_recall_delta_mean,validation_recall_delta_std,validation_recall_delta_min,validation_recall_delta_max,pr_auc_delta_count,pr_auc_delta_mean,pr_auc_delta_std,pr_auc_delta_min,pr_auc_delta_max,f1_delta_count,f1_delta_mean,f1_delta_std,f1_delta_min,f1_delta_max,precision_delta_count,precision_delta_mean,precision_delta_std,precision_delta_min,precision_delta_max,recall_delta_count,recall_delta_mean,recall_delta_std,recall_delta_min,recall_delta_max,tn_delta_count,tn_delta_mean,tn_delta_std,tn_delta_min,tn_delta_max,fp_delta_count,fp_delta_mean,fp_delta_std,fp_delta_min,fp_delta_max,fn_delta_count,fn_delta_mean,fn_delta_std,fn_delta_min,fn_delta_max,tp_delta_count,tp_delta_mean,tp_delta_std,tp_delta_min,tp_delta_max,validation_f1_delta_ci95,validation_precision_delta_ci95,validation_recall_delta_ci95,pr_auc_delta_ci95,f1_delta_ci95,precision_delta_ci95,recall_delta_ci95,tn_delta_ci95,fp_delta_ci95,fn_delta_ci95,tp_delta_ci95
16,32,turning,cnn_ae,ver_max,5,-0.023133134111676324,0.07023135848666837,-0.1449530516431925,0.03564970291914249,5,0.07026859405323949,0.17379671377444603,-0.18821839080459768,0.2716981132075472,5,-0.11184995737425404,0.19121358740452513,-0.3043478260869565,0.16000000000000003,5,0.05331718295628067,0.04918339442962605,0.0,0.12757691139270066,5,0.15007423379909152,0.11044668720038617,0.004901960784313708,0.27272727272727276,5,0.21269480519480516,0.19585486951387115,0.025974025974025983,0.5,5,0.1633766233766234,0.34816144817543304,-0.19999999999999996,0.6363636363636364,5,0.2,5.118593556827891,-8,5,5,-0.2,5.118593556827891,-5,8,5,-2.2,4.08656334834051,-7,2,5,2.2,4.08656334834051,-2,7,0.06156049995751211,0.15233953637616823,0.16760609922598135,0.0431111460170607,0.09681078978413,0.1716743623672879,0.30517696478389505,4.4866450717657615,4.4866450717657615,3.582030708969425,3.582030708969425
16,32,turning,cnn_ae,ver_topk,5,-0.01680810177556895,0.06555090692860487,-0.1305940436375218,0.032616753150481625,5,0.09284036051216975,0.22982447096350445,-0.21118012422360255,0.4209677419354839,5,-0.1635464620630861,0.2598661312049152,-0.5399999999999999,0.14,5,0.039450592595440016,0.0450230696267739,0.0,0.11677082177082176,5,0.10667170604056997,0.14643944259106384,-0.011904761904761973,0.32463768115942027,5,0.08348484848484847,0.2189265488525093,-0.13636363636363635,0.44999999999999996,5,0.10969696969696971,0.28848739494674436,-0.18181818181818177,0.4666666666666667,5,0.8,5.718391382198319,-7,9,5,-0.8,5.718391382198319,-9,7,5,-1.6,3.7815340802378077,-7,2,5,1.6,3.7815340802378077,-2,7,0.05745790328061599,0.20145003086719043,0.22778270709423531,0.03946446054253963,0.1283598309025523,0.19189758096294665,0.25287035089507787,5.012391046197413,5.012391046197413,3.3146607669564014,3.3146607669564014
16,64,turning,cnn_ae,global_mae,5,0.043427806839503966,0.11572157230759929,-0.11531986531986543,0.1821361940298506,5,0.03239890828126122,0.14986514439456822,-0.18571428571428572,0.16208791208791207,5,0.04441000526019839,0.11691182549079233,-0.06521739130434784,0.19999999999999996,5,-0.007091265795869361,0.008045715566388412,-0.01696426548728336,0.0,5,0.2260166135419685,0.3179153611459137,-0.011904761904761862,0.632183908045977,5,0.0533871533871534,0.1705306587206009,-0.08441558441558439,0.35135135135135137,5,0.35238095238095235,0.4441736703510313,0.0,0.9285714285714286,5,-5.0,10.099504938362077,-23,0,5,5.0,10.099504938362077,0,23,5,-5.0,6.442049363362563,-13,0,5,5.0,6.442049363362563,0,13,0.10143443044003608,0.1313625909270378,0.1024777333550337,0.007052380638156502,0.2786651005765541,0.1494767128976557,0.38933538812243157,8.85260639585879,8.85260639585879,5.64670523402807,5.64670523402807
16,64,turning,cnn_ae,global_mse,5,0.010017648423747971,0.1437611659098805,-0.19796682718031033,0.19999999999999996,5,0.01922380141696194,0.1951166530935126,-0.19999999999999996,0.24285714285714288,5,-0.03412323375233536,0.11951862770299243,-0.2173913043478261,0.10638297872340419,5,0.025732552126962082,0.04555483023969978,-0.01107142857142851,0.10377265074470043,5,0.2280671219618588,0.2925139845923722,-0.031339031339031376,0.5789473684210527,5,0.06245934959349594,0.15769423261300686,-0.04583333333333328,0.34146341463414637,5,0.3866666666666667,0.4555826550205303,0.0,1.0,5,-5.8,11.861703081766969,-27,0,5,5.8,11.861703081766969,0,27,5,-5.4,6.618156843109719,-14,0,5,5.4,6.618156843109719,0,14,0.12601221788365433,0.1710272871448608,0.1047626962395812,0.03993056927081724,0.25639981233580517,0.13822508932268027,0.39933580411033065,10.397241172541877,10.397241172541877,5.801070246083906,5.801070246083906
16,64,turning,cnn_ae,ver_max,5,-0.001989365987075975,0.1252163754336656,-0.2030701754385965,0.1323670176398194,5,-0.030384224108373225,0.10542588480691718,-0.19020408163265312,0.09939117199391179,5,0.03293392102446897,0.22573564572984625,-0.21739130434782605,0.3999999999999999,5,0.05276047786717843,0.08188194942949754,-0.018635209819420462,0.18597295269066616,5,0.1873497950499848,0.2507070475966274,-0.0903225806451613,0.5909090909090909,5,0.031243431158541522,0.24116458844385533,-0.16428571428571426,0.43333333333333335,5,0.44935064935064944,0.3741172778169169,0.09090909090909094,0.9285714285714286,5,-7.8,7.791020472312982,-16,1,5,7.8,7.791020472312982,-1,16,5,-5.8,5.06951674225463,-13,-1,5,5.8,5.06951674225463,1,13,0.1097569923273979,0.09240986244640101,0.19786601752832456,0.0717726931813862,0.21975441633881895,0.21139008210227853,0.32792825258427366,6.829130544952263,6.829130544952263,4.443627347111816,4.443627347111816
16,64,turning,cnn_ae,ver_topk,5,0.008463281967272595,0.12608873185200023,-0.1752945849331392,0.17088122605363976,5,0.03610021934042085,0.12083083016688086,-0.12132132132132134,0.18567362428842504,5,-0.05941985452830528,0.09566812082876669,-0.2173913043478261,0.020000000000000018,5,0.05380726753619662,0.07403971361632401,-0.01961127108185934,0.1476343627495964,5,0.1654614456972509,0.22734474954844844,-0.09977827050997778,0.4313725490196078,5,-0.04568181818181819,0.15074891478090868,-0.2696969696969697,0.09999999999999998,5,0.3622510822510822,0.2787250877098137,0.0,0.7142857142857142,5,-4.6,7.092249290598858,-15,1,5,4.6,7.092249290598858,-1,15,5,-4.8,4.147288270665545,-10,0,5,4.8,4.147288270665545,0,10,0.11052164644218365,0.10591289241210411,0.08385680520949204,0.06489867041084116,0.19927645921265416,0.13213724982589836,0.24431331131626394,6.216630598644252,6.216630598644252,3.635258450234316,3.635258450234316
16,128,turning,cnn_ae,global_mae,5,0.06287517647074217,0.11589518056124024,-0.07744107744107753,0.21442786069651742,5,0.08175036919994631,0.17717544363773485,-0.2264150943396226,0.21666666666666667,5,0.0573950046253469,0.19009340499463986,-0.15217391304347827,0.3191489361702128,5,-0.024962444104022485,0.031364901240807395,-0.07558019437632146,0.0,5,0.06801790801790802,0.4295437584592801,-0.3333333333333333,0.8,5,-0.09033549783549784,0.6221104372435182,-1.0,0.75,5,0.1314285714285714,0.41482723229443513,-0.2,0.8571428571428571,5,-1.4,1.51657508881031,-3,0,5,1.4,1.51657508881031,0,3,5,-1.8,5.848076606885378,-12,3,5,1.8,5.848076606885378,-3,12,0.10158660478382178,0.15530112367972182,0.1666242160518258,0.02749254810254903,0.3765117049444746,0.5453038410579404,0.3636121010087536,1.3293366766925523,1.3293366766925523,5.126065157603831,5.126065157603831
16,128,turning,cnn_ae,global_mse,5,0.027609783882485316,0.12713786472313904,-0.14474553866490414,0.20675675675675675,5,0.06487948249813338,0.22068359494134956,-0.30508474576271183,0.2885245901639344,5,-0.02044258221327385,0.20089128618455754,-0.2608695652173913,0.2978723404255319,5,-0.023753533237433188,0.03543726297138774,-0.07910293410293401,0.005494505494505475,5,0.09113471667651234,0.45566558222263215,-0.42105263157894735,0.8235294117647058,5,-0.0653501400560224,0.6082008654456653,-1.0,0.7,5,0.18666666666666668,0.48396510434350765,-0.26666666666666666,1.0,5,-1.6,2.6076809620810595,-6,0,5,1.6,2.6076809620810595,0,6,5,-2.4,6.841052550594828,-14,4,5,2.4,6.841052550594828,-4,14,0.11144125194976365,0.19343769976469144,0.1760889762224457,0.031062130544699196,0.39940849300787545,0.5331115638113986,0.4242141178435458,2.2857331427793577,2.2857331427793577,5.996446947985115,5.996446947985115
16,128,turning,cnn_ae,ver_max,5,0.002707843158076151,0.12065197030019334,-0.17312206572769961,0.16219303255282713,5,0.04980376254893974,0.05053540671110278,-0.03010752688172047,0.0893583724569641,5,-0.02890366581415177,0.2162793759966798,-0.3260869565217391,0.2799999999999999,5,0.003913231975814857,0.035569670309470745,-0.047821905476704396,0.05072139868911196,5,-0.05723995472552349,0.4189012374856815,-0.72,0.3157894736842105,5,-0.08333333333333334,0.5395681484743818,-0.9,0.6,5,0.028311688311688326,0.4623672104960287,-0.6,0.6363636363636364,5,-2.2,3.7013511046643495,-7,2,5,2.2,3.7013511046643495,-2,7,5,0.0,6.0,-7,9,5,0.0,6.0,-9,7,0.10575611482652306,0.04429623703323696,0.18957723164904644,0.031178190693699166,0.3671831240076926,0.4729523349251075,0.40528272918854114,3.2443772900203824,3.2443772900203824,5.259231883079505,5.259231883079505
16,128,turning,cnn_ae,ver_topk,5,0.020096141888151387,0.11917963441370268,-0.15190691661279887,0.17536644521775802,5,0.084230976845481,0.19398827925840242,-0.1886524822695036,0.28198469108802626,5,-0.10187175998984235,0.17484346517002522,-0.2826086956521739,0.14893617021276595,5,-0.007512844212645198,0.027039455175797783,-0.040277777777777746,0.017613289334872606,5,-0.08640337765144343,0.3404514648312943,-0.6086956521739131,0.3361344537815126,5,-0.20886420596946914,0.4055632489169558,-0.875,0.16666666666666663,5,0.005108225108225117,0.39482660191070873,-0.4666666666666667,0.42857142857142855,5,-2.6,7.797435475847171,-15,5,5,2.6,7.797435475847171,-5,15,5,0.0,5.244044240850758,-6,7,5,0.0,5.244044240850758,-7,6,0.10446555552038408,0.17003822386992012,0.15325705442838294,0.02370112746027581,0.29841886641364396,0.35549186155156054,0.3460807755094565,6.834753543471775,6.834753543471775,4.596607444626961,4.596607444626961
