dataset,method,score,cv_seed,cv_fold,threshold_protocol,threshold,validation_f1,validation_precision,validation_recall,n_train_nominal,n_eval,n_eval_chatter,n_eval_no_chatter,n_eval_runs,pr_auc,f1,precision,recall,tn,fp,fn,tp,bottleneck_dim,epochs_trained,best_val_loss,validation_f1_reference,validation_precision_reference,validation_recall_reference,pr_auc_reference,f1_reference,precision_reference,recall_reference,tn_reference,fp_reference,fn_reference,tp_reference,reference_dim,validation_f1_delta,validation_precision_delta,validation_recall_delta,pr_auc_delta,f1_delta,precision_delta,recall_delta,tn_delta,fp_delta,fn_delta,tp_delta
turning,cnn_ae,global_mae,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.03905442729592323,0.7479674796747967,0.6388888888888888,0.9019607843137255,472,128,10,118,13,0.867936507936508,0.7619047619047619,0.7272727272727273,0.8,115,3,2,8,16,2049,0.001094294828362763,0.7479674796747967,0.6388888888888888,0.9019607843137255,0.867936507936508,0.7619047619047619,0.7272727272727273,0.8,115,3,2,8,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_max,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.005839291960000992,0.6950354609929078,0.5444444444444444,0.9607843137254902,472,128,10,118,13,0.6319901881743988,0.5833333333333334,0.5,0.7,111,7,3,7,16,2049,0.001094294828362763,0.6950354609929078,0.5444444444444444,0.9607843137254902,0.6319901881743988,0.5833333333333334,0.5,0.7,111,7,3,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_topk,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.005080895032733679,0.7042253521126761,0.5494505494505495,0.9803921568627451,472,128,10,118,13,0.7288823216686994,0.5833333333333334,0.5,0.7,111,7,3,7,16,2049,0.001094294828362763,0.7042253521126761,0.5494505494505495,0.9803921568627451,0.7288823216686994,0.5833333333333334,0.5,0.7,111,7,3,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mse,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.004231684375554323,0.55,0.4,0.88,481,120,11,109,11,0.9805194805194806,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,16,1723,0.001059470814652741,0.55,0.4,0.88,0.9805194805194806,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mae,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.04256324842572212,0.5522388059701493,0.44047619047619047,0.74,481,120,11,109,11,0.9924242424242424,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,16,1723,0.001059470814652741,0.5522388059701493,0.44047619047619047,0.74,0.9924242424242424,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_max,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.012302516959607601,0.5436893203883495,0.5283018867924528,0.56,481,120,11,109,11,0.9757575757575757,0.8,0.7142857142857143,0.9090909090909091,105,4,1,10,16,1723,0.001059470814652741,0.5436893203883495,0.5283018867924528,0.56,0.9757575757575757,0.8,0.7142857142857143,0.9090909090909091,105,4,1,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_topk,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.0047662085853517056,0.5402298850574713,0.3790322580645161,0.94,481,120,11,109,11,0.9757575757575757,0.7096774193548387,0.55,1.0,100,9,0,11,16,1723,0.001059470814652741,0.5402298850574713,0.3790322580645161,0.94,0.9757575757575757,0.7096774193548387,0.55,1.0,100,9,0,11,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mse,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.014857997186481953,0.7297297297297298,1.0,0.574468085106383,472,132,14,118,13,0.6730875404788449,0.0,0.0,0.0,118,0,14,0,16,2660,0.001297981129027903,0.7297297297297298,1.0,0.574468085106383,0.6730875404788449,0.0,0.0,0.0,118,0,14,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mae,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.08020474016666412,0.7123287671232876,1.0,0.5531914893617021,472,132,14,118,13,0.7298705468809598,0.0,0.0,0.0,117,1,14,0,16,2660,0.001297981129027903,0.7123287671232876,1.0,0.5531914893617021,0.7298705468809598,0.0,0.0,0.0,117,1,14,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_max,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.021584929898381233,0.7272727272727273,0.9333333333333333,0.5957446808510638,472,132,14,118,13,0.5680413861451014,0.0,0.0,0.0,117,1,14,0,16,2660,0.001297981129027903,0.7272727272727273,0.9333333333333333,0.5957446808510638,0.5680413861451014,0.0,0.0,0.0,117,1,14,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_topk,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.01707608439028263,0.7272727272727273,0.9333333333333333,0.5957446808510638,472,132,14,118,13,0.6039344531825735,0.23529411764705882,0.6666666666666666,0.14285714285714285,117,1,12,2,16,2660,0.001297981129027903,0.7272727272727273,0.9333333333333333,0.5957446808510638,0.6039344531825735,0.23529411764705882,0.6666666666666666,0.14285714285714285,117,1,12,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mse,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.01975804939866066,0.5507246376811594,0.8260869565217391,0.41304347826086957,469,136,15,121,11,1.0,0.9285714285714286,1.0,0.8666666666666667,121,0,2,13,32,4000,0.005306706763803959,0.6741573033707865,0.6976744186046512,0.6521739130434783,0.9759432234432234,0.42105263157894735,1.0,0.26666666666666666,121,0,11,4,16,-0.12343266568962707,0.12841253791708795,-0.2391304347826087,0.024056776556776627,0.5075187969924813,0.0,0.6000000000000001,0,0,-9,9
turning,cnn_ae,global_mae,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.10397546738386154,0.5373134328358209,0.8571428571428571,0.391304347826087,469,136,15,121,11,0.9958333333333333,0.8888888888888888,1.0,0.8,121,0,3,12,32,4000,0.005306706763803959,0.5925925925925927,0.6857142857142857,0.5217391304347826,1.0,0.3333333333333333,1.0,0.2,121,0,12,3,16,-0.05527915975677178,0.17142857142857137,-0.13043478260869562,-0.004166666666666652,0.5555555555555556,0.0,0.6000000000000001,0,0,-9,9
