dataset,method,score,cv_seed,cv_fold,threshold_protocol,threshold,validation_f1,validation_precision,validation_recall,n_train_nominal,n_eval,n_eval_chatter,n_eval_no_chatter,n_eval_runs,pr_auc,f1,precision,recall,tn,fp,fn,tp,bottleneck_dim,epochs_trained,best_val_loss
turning,cnn_ae,global_mse,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.003540471661835909,0.5348837209302325,0.3770491803278688,0.92,481,120,11,109,11,1.0,0.7857142857142857,0.6470588235294118,1.0,103,6,0,11,32,1708,0.0009982584742829204
turning,cnn_ae,global_mae,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.052146028727293015,0.5306122448979592,0.5416666666666666,0.52,481,120,11,109,11,0.9924242424242424,0.9565217391304348,0.9166666666666666,1.0,108,1,0,11,32,1708,0.0009982584742829204
turning,cnn_ae,ver_max,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.026241444051265717,0.5333333333333333,0.8,0.4,481,120,11,109,11,1.0,0.9,1.0,0.8181818181818182,109,0,2,9,32,1708,0.0009982584742829204
turning,cnn_ae,ver_topk,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.022493163123726845,0.5333333333333333,0.8,0.4,481,120,11,109,11,1.0,0.9,1.0,0.8181818181818182,109,0,2,9,32,1708,0.0009982584742829204
turning,cnn_ae,global_mse,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.00405444810166955,0.7476635514018691,0.6666666666666666,0.851063829787234,472,132,14,118,13,0.7256548540161986,0.7222222222222222,0.5909090909090909,0.9285714285714286,109,9,1,13,32,2033,0.0013340737204998732
turning,cnn_ae,global_mae,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.04038392752408981,0.7916666666666665,0.7755102040816326,0.8085106382978723,472,132,14,118,13,0.7202716940045556,0.6666666666666666,0.625,0.7142857142857143,112,6,4,10,32,2033,0.0013340737204998732
turning,cnn_ae,ver_max,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.018326411023736,0.7272727272727273,0.9333333333333333,0.5957446808510638,472,132,14,118,13,0.6105857430691576,0.125,0.5,0.07142857142857142,117,1,13,1,32,2033,0.0013340737204998732
turning,cnn_ae,ver_topk,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.014387230388820171,0.7272727272727273,0.9333333333333333,0.5957446808510638,472,132,14,118,13,0.6255167034302372,0.23529411764705882,0.6666666666666666,0.14285714285714285,117,1,12,2,32,2033,0.0013340737204998732
turning,cnn_ae,global_mse,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.012536825612187386,0.47619047619047616,0.5263157894736842,0.43478260869565216,469,136,15,121,11,1.0,1.0,1.0,1.0,121,0,0,15,64,3921,0.005303489975631237
turning,cnn_ae,global_mae,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.0749289020895958,0.47727272727272724,0.5,0.45652173913043476,469,136,15,121,11,0.9958333333333333,0.9655172413793104,1.0,0.9333333333333333,121,0,1,14,64,3921,0.005303489975631237
turning,cnn_ae,ver_max,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.014113682322204113,0.5052631578947369,0.4897959183673469,0.5217391304347826,469,136,15,121,11,0.913506956006956,0.8823529411764706,0.7894736842105263,1.0,117,4,0,15,64,3921,0.005303489975631237
turning,cnn_ae,ver_topk,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.016494808718562126,0.506024096385542,0.5675675675675675,0.45652173913043476,469,136,15,121,11,0.9913888888888889,0.967741935483871,0.9375,1.0,120,1,0,15,64,3921,0.005303489975631237
turning,cnn_ae,global_mse,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.02092035859823227,0.6486486486486487,1.0,0.48,466,135,11,124,15,0.7269604133240497,0.6956521739130435,0.6666666666666666,0.7272727272727273,120,4,3,8,64,4000,0.00588094862177968
turning,cnn_ae,global_mae,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.09601562470197678,0.6486486486486487,1.0,0.48,466,135,11,124,15,0.6867691744446549,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,64,4000,0.00588094862177968
turning,cnn_ae,ver_max,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.015973368659615517,0.6582278481012658,0.896551724137931,0.52,466,135,11,124,15,0.7087110079204941,0.5238095238095238,0.3548387096774194,1.0,104,20,0,11,64,4000,0.00588094862177968
turning,cnn_ae,ver_topk,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.014713781885802746,0.6582278481012658,0.896551724137931,0.52,466,135,11,124,15,0.7068994137175956,0.5365853658536586,0.36666666666666664,1.0,105,19,0,11,64,4000,0.00588094862177968
turning,cnn_ae,global_mse,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.0034172553569078445,0.823529411764706,0.7205882352941176,0.9607843137254902,472,128,10,118,13,0.7510313216195569,0.72,0.6,0.9,112,6,1,9,64,2168,0.0010215904330834746
turning,cnn_ae,global_mae,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.03470984473824501,0.8468468468468469,0.7833333333333333,0.9215686274509803,472,128,10,118,13,0.8536111111111112,0.75,0.6428571428571429,0.9,113,5,1,9,64,2168,0.0010215904330834746
turning,cnn_ae,ver_max,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.005407222080975771,0.7580645161290323,0.6438356164383562,0.9215686274509803,472,128,10,118,13,0.6133549783549783,0.6666666666666666,0.5714285714285714,0.8,112,6,2,8,64,2168,0.0010215904330834746
turning,cnn_ae,ver_topk,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.00486190477386117,0.7666666666666666,0.6666666666666666,0.9019607843137255,472,128,10,118,13,0.70927105058684,0.72,0.6,0.9,112,6,1,9,64,2168,0.0010215904330834746
turning,cnn_ae,global_mse,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.003340419614687562,0.75,0.6428571428571429,0.9,481,120,11,109,11,0.9924242424242424,0.8148148148148148,0.6875,1.0,104,5,0,11,64,1721,0.0009526487556286156
turning,cnn_ae,global_mae,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.031410254538059235,0.7343749999999999,0.6025641025641025,0.94,481,120,11,109,11,0.9924242424242424,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,64,1721,0.0009526487556286156
