segments,top_k,threshold,pr_auc,f1
16,10,0.0049522449262440205,0.930594325725985,0.8108108108108109
17,1,0.0063059343956410885,0.8931493116801537,0.7777777777777778
17,3,0.0063059343956410885,0.8931493116801537,0.7777777777777778
17,5,0.0063059343956410885,0.8931493116801537,0.7777777777777778
17,10,0.0063059343956410885,0.8931493116801537,0.7777777777777778
18,1,0.004952735733240843,0.9315909090909091,0.926829268292683
18,3,0.004952735733240843,0.9315909090909091,0.926829268292683
18,5,0.004952735733240843,0.9315909090909091,0.926829268292683
18,10,0.004952735733240843,0.9315909090909091,0.926829268292683
19,1,0.006186296697705984,0.809441707357707,0.7777777777777778
19,3,0.006186296697705984,0.809441707357707,0.7777777777777778
19,5,0.006186296697705984,0.809441707357707,0.7777777777777778
19,10,0.006186296697705984,0.809441707357707,0.7777777777777778
20,1,0.005765835754573345,0.9234035164267117,0.8717948717948718
20,3,0.005765835754573345,0.9234035164267117,0.8717948717948718
20,5,0.005765835754573345,0.9234035164267117,0.8717948717948718
20,10,0.005765835754573345,0.9234035164267117,0.8717948717948718
21,1,0.006363574881106615,0.8323294566772828,0.7777777777777778
21,3,0.006363574881106615,0.8323294566772828,0.7777777777777778
21,5,0.006363574881106615,0.8323294566772828,0.7777777777777778
21,10,0.006363574881106615,0.8323294566772828,0.7777777777777778
22,1,0.007404729723930359,0.7752456903379171,0.625
22,3,0.007404729723930359,0.7752456903379171,0.625
22,5,0.007404729723930359,0.7752456903379171,0.625
22,10,0.007404729723930359,0.7752456903379171,0.625
23,1,0.0060836621560156345,0.8078582466591326,0.8
23,3,0.0060836621560156345,0.8078582466591326,0.8
23,5,0.0060836621560156345,0.8078582466591326,0.8
23,10,0.0060836621560156345,0.8078582466591326,0.8
24,1,0.00652407668530941,0.7002097329113414,0.6666666666666666
24,3,0.00652407668530941,0.7002097329113414,0.6666666666666666
24,5,0.00652407668530941,0.7002097329113414,0.6666666666666666
24,10,0.00652407668530941,0.7002097329113414,0.6666666666666666
25,1,0.008181684650480747,0.6922811037290644,0.5806451612903226
25,3,0.008181684650480747,0.6922811037290644,0.5806451612903226
25,5,0.008181684650480747,0.6922811037290644,0.5806451612903226
25,10,0.008181684650480747,0.6922811037290644,0.5806451612903226
26,1,0.007057277485728264,0.6518981091204114,0.7027027027027027
26,3,0.007057277485728264,0.6518981091204114,0.7027027027027027
26,5,0.007057277485728264,0.6518981091204114,0.7027027027027027
26,10,0.007057277485728264,0.6518981091204114,0.7027027027027027
27,1,0.0076989238150417805,0.7152470534367408,0.6666666666666666
27,3,0.0076989238150417805,0.7152470534367408,0.6666666666666666
27,5,0.0076989238150417805,0.7152470534367408,0.6666666666666666
27,10,0.0076989238150417805,0.7152470534367408,0.6666666666666666
28,1,0.0078500397503376,0.7449690508726221,0.7058823529411765
28,3,0.0078500397503376,0.7449690508726221,0.7058823529411765
28,5,0.0078500397503376,0.7449690508726221,0.7058823529411765
28,10,0.0078500397503376,0.7449690508726221,0.7058823529411765
29,1,0.008329831063747406,0.7477815822450427,0.6666666666666666
29,3,0.008329831063747406,0.7477815822450427,0.6666666666666666
29,5,0.008329831063747406,0.7477815822450427,0.6666666666666666
29,10,0.008329831063747406,0.7477815822450427,0.6666666666666666
30,1,0.008294625207781792,0.7321998401148572,0.7
30,3,0.008294625207781792,0.7321998401148572,0.7
30,5,0.008294625207781792,0.7321998401148572,0.7
30,10,0.008294625207781792,0.7321998401148572,0.7
31,1,0.008557725697755814,0.6611484358825831,0.6666666666666666
31,3,0.008557725697755814,0.6611484358825831,0.6666666666666666
31,5,0.008557725697755814,0.6611484358825831,0.6666666666666666
31,10,0.008557725697755814,0.6611484358825831,0.6666666666666666
32,1,0.008329831063747406,0.7501415841146846,0.75
32,3,0.008329831063747406,0.7501415841146846,0.75
32,5,0.008329831063747406,0.7501415841146846,0.75
32,10,0.008329831063747406,0.7501415841146846,0.75
33,1,0.008596309460699558,0.6965560325583123,0.7027027027027027
33,3,0.008596309460699558,0.6965560325583123,0.7027027027027027
33,5,0.008596309460699558,0.6965560325583123,0.7027027027027027
33,10,0.008596309460699558,0.6965560325583123,0.7027027027027027
34,1,0.009088725782930851,0.6414812054451353,0.6666666666666666
34,3,0.009088725782930851,0.6414812054451353,0.6666666666666666
34,5,0.009088725782930851,0.6414812054451353,0.6666666666666666
34,10,0.009088725782930851,0.6414812054451353,0.6666666666666666
35,1,0.00901348888874054,0.6659232067244211,0.625
35,3,0.00901348888874054,0.6659232067244211,0.625
35,5,0.00901348888874054,0.6659232067244211,0.625
35,10,0.00901348888874054,0.6659232067244211,0.625
36,1,0.008714079856872559,0.675613001251633,0.6857142857142857
36,3,0.008714079856872559,0.675613001251633,0.6857142857142857
36,5,0.008714079856872559,0.675613001251633,0.6857142857142857
36,10,0.008714079856872559,0.675613001251633,0.6857142857142857
37,1,0.008288265205919743,0.678847899670171,0.6666666666666666
37,3,0.008288265205919743,0.678847899670171,0.6666666666666666
37,5,0.008288265205919743,0.678847899670171,0.6666666666666666
37,10,0.008288265205919743,0.678847899670171,0.6666666666666666
38,1,0.010482212528586388,0.5793895028449311,0.5714285714285714
38,3,0.010482212528586388,0.5793895028449311,0.5714285714285714
38,5,0.010482212528586388,0.5793895028449311,0.5714285714285714
38,10,0.010482212528586388,0.5793895028449311,0.5714285714285714
39,1,0.01086416281759739,0.5118047264108828,0.5161290322580645
39,3,0.01086416281759739,0.5118047264108828,0.5161290322580645
39,5,0.01086416281759739,0.5118047264108828,0.5161290322580645
39,10,0.01086416281759739,0.5118047264108828,0.5161290322580645
